Percentage of Education level of residents-illeterate,Percentage of School dropout,Percentage of Education level of residents-university,Percentage of Education level of residents-secondary,Percentage of Education level of residents-intermediate,Percentage of Education level of residents-vocational,Percentage of Education level of residents-elementary,Percentage of Education level of residents-higher education,Town,dataset
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,Boutchay,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,Ghobairi,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,Qleiaat Kesrouane,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.00E+01,0.00E+00,1.00E+01,8.00E+01,Jdidet Ej-Joumeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,3.20E+01,1.00E+00,1.00E+00,5.00E+00,1.00E+00,6.00E+01,Baabdat,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,2.00E+01,2.00E+01,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+01,Enfeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,0.00E+00,1.50E+01,5.00E+00,1.00E+01,5.00E+00,1.00E+01,5.00E+01,Chaqdouf,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+00,3.00E+01,5.00E+00,5.00E+00,1.00E+01,5.00E+00,4.00E+01,Mcherfeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,5.00E+00,2.00E+01,1.00E+01,5.00E+00,1.00E+01,5.00E+00,4.00E+01,Massa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
8.00E+00,3.00E+00,5.00E+00,2.00E+01,2.00E+01,2.00E+00,5.00E+00,4.00E+01,Lassa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,3.50E+01,1.50E+01,5.00E+00,1.00E+01,0.00E+00,3.50E+01,Tannourine El-Faouqa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,3.00E+01,1.50E+01,5.00E+00,1.00E+01,4.00E+00,3.50E+01,Bterram,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,4.00E+01,1.00E+01,0.00E+00,2.00E+01,0.00E+00,3.00E+01,Aachach,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,2.00E+01,4.00E+01,2.00E+01,1.00E+01,1.00E+01,3.00E+01,Menneaa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,4.50E+01,1.00E+01,0.00E+00,2.00E+01,0.00E+00,2.50E+01,Mar Chaaya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,3.00E+01,2.50E+01,1.00E+01,1.00E+01,1.90E+01,1.00E+01,2.50E+01,Sinn El-Fil,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.00E+00,1.00E+00,3.00E+01,1.50E+01,1.00E+01,1.00E+01,7.00E+00,2.50E+01,Kousba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,0.00E+00,1.50E+01,2.00E+01,2.00E+01,8.00E+00,1.00E+01,2.50E+01,Kharbe,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,1.50E+01,2.00E+01,1.50E+01,5.00E+00,2.00E+01,2.50E+01,Borj El-Moulouk,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,3.00E+01,1.00E+01,0.00E+00,4.00E+01,0.00E+00,2.00E+01,Bisrin,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+01,3.00E+01,3.00E+01,2.00E+01,2.00E+01,3.00E+01,2.00E+01,2.00E+01,Shawagheer El-Faouqa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,3.00E+01,2.00E+01,0.00E+00,3.00E+01,0.00E+00,2.00E+01,Maad,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,3.00E+01,2.00E+01,5.00E+00,2.50E+01,0.00E+00,2.00E+01,Qarah Bach,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,5.00E+00,3.00E+01,1.00E+01,1.00E+01,2.00E+01,9.00E+00,2.00E+01,Louayzet Jezzine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,3.00E+00,2.00E+01,2.00E+01,1.00E+01,2.00E+01,5.00E+00,2.00E+01,Bissariyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,2.00E+01,2.00E+01,1.00E+01,2.00E+01,1.00E+01,2.00E+01,Berti,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,2.00E+01,2.00E+01,1.00E+01,2.00E+01,1.00E+01,2.00E+01,Zabbougha,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,0.00E+00,4.00E+01,1.10E+01,7.00E+00,1.50E+01,5.00E+00,2.00E+01,Miziara,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,0.00E+00,3.90E+01,1.50E+01,5.00E+00,1.50E+01,5.00E+00,2.00E+01,Beit Mellat,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,0.00E+00,3.50E+01,1.00E+01,1.00E+01,1.50E+01,5.00E+00,2.00E+01,Ayto,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,1.00E+00,3.00E+01,2.00E+01,8.00E+00,1.50E+01,5.00E+00,2.00E+01,Habbouch En-Nabatiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,5.00E+01,1.50E+01,1.00E+01,1.00E+01,1.00E+01,2.00E+01,Kfar Tay El-Matn,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,4.60E+01,2.00E+01,3.00E+00,1.00E+01,1.00E+00,2.00E+01,Balloune,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,5.00E+00,4.00E+01,2.00E+01,5.00E+00,1.00E+01,3.00E+00,2.00E+01,Mristi,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,4.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,2.00E+01,Kaftoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+00,3.50E+01,2.00E+01,5.00E+00,1.00E+01,5.00E+00,2.00E+01,Rachaaine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,3.00E+01,3.00E+01,1.00E+01,5.00E+00,1.00E+01,2.00E+01,2.00E+01,Khirbet Qanafar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,3.00E+01,2.00E+01,5.00E+00,1.00E+01,1.00E+01,2.00E+01,Bdadoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,0.00E+00,3.00E+01,3.00E+01,7.00E+00,1.00E+01,2.00E+00,2.00E+01,Roumieh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,2.50E+01,2.50E+01,1.00E+01,1.00E+01,1.00E+01,2.00E+01,Qornet El-Hamra,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,2.00E+01,1.50E+01,2.00E+01,1.00E+01,1.00E+01,2.00E+01,Aaba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,0.00E+00,2.00E+01,1.50E+01,1.50E+01,1.00E+01,1.50E+01,2.00E+01,Kahlouniet Ech-Chouf,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,2.00E+01,2.00E+01,2.00E+01,1.00E+01,1.00E+01,2.00E+01,Aain Kfaa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,2.00E+01,3.00E+01,1.00E+01,1.00E+01,1.00E+01,2.00E+01,Mrah El-Hbasse,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,5.00E+00,3.50E+01,2.00E+01,1.00E+01,5.00E+00,1.00E+01,2.00E+01,Hjoula,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,1.00E+00,2.00E+01,3.50E+01,1.00E+01,5.00E+00,1.00E+01,2.00E+01,Behnine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,5.30E+01,1.00E+01,7.00E+00,3.00E+00,6.00E+00,2.00E+01,Richmaiya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,7.30E+01,0.00E+00,0.00E+00,2.00E+00,5.00E+00,2.00E+01,Rashana,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,1.80E+01,1.80E+01,1.80E+01,1.80E+01,1.00E+01,1.80E+01,Wadi Jezzine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,0.00E+00,4.00E+01,2.00E+01,1.00E+01,5.00E+00,5.00E+00,1.80E+01,Aabdine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.00E+00,3.00E+00,2.20E+01,2.00E+01,1.50E+01,2.00E+00,2.00E+01,1.80E+01,Dibbiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,4.00E+01,2.50E+01,5.00E+00,7.00E+00,5.00E+00,1.70E+01,Aayta El-Foukhar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
